Sample,RT,mz,RTobs,dRT,mzobs,dppm,intensity,area,compound
PRISM|7658,432.6,369.3519,432.936666,0.33666599999998,369.352783203125,2.39122399261911,21618720.0,39118070.9468969,cholesterol
PRISM|7658,420.0,385.3465,419.82957,-0.17043000000001,385.34765625,3.000546261632545,3772915.0,7256232.00343543,cholestenone
PRISM|7658,450.0,371.3583,448.986288,-1.013711999999998,371.3590087890625,1.908639345113251,9709.382813,0.0,coprostanol
PRISM|7122,432.6,369.3519,432.670626,0.070626000000004,369.35284423828125,2.528931772623452,79648460.0,168326366.3601125,cholesterol
PRISM|7122,420.0,385.3465,420.098436,0.098435999999992,385.3476867675781,3.106139809739546,74687290.0,168154270.6546197,cholestenone
PRISM|7122,450.0,371.3583,450.057588,0.05758800000001,371.359375,1.38817704546729,290074.4,565015.3212795478,coprostanol
PRISM|8746,432.6,369.3519,433.203792,0.603791999999999,369.35272216796875,2.418765548681539,15647570.0,28384283.92145348,cholesterol
PRISM|8746,420.0,385.3465,420.364074,0.364074000000016,385.3476867675781,3.079741422675918,460907.6,937285.2017870621,cholestenone
PRISM|8746,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PRISM|8515,432.6,369.3519,432.134664,-0.465336000000036,369.3527526855469,2.336140880648153,30117010.0,51938757.22684428,cholesterol
PRISM|8515,420.0,385.3465,419.829984,-0.170015999999976,385.3477783203125,3.106139809739546,58896900.0,118620287.4690719,cholestenone
PRISM|8515,450.0,371.3583,448.986714,-1.013285999999994,371.3592529296875,2.511279902589991,565385.9,790520.9655732105,coprostanol
PRISM|7858,432.6,369.3519,432.93663,0.336629999999957,369.3528137207031,2.446307104590066,4250133.0,7227195.957347999,cholesterol
PRISM|7858,420.0,385.3465,420.09705,0.097050000000024,385.3477478027344,3.132538196655662,47520830.0,101694528.6596047,cholestenone
PRISM|7858,450.0,371.3583,450.056202,0.056201999999985,371.358642578125,2.237352376436369,440712.4,911363.4444074637,coprostanol
PRISM|7874,432.6,369.3519,432.937656,0.337655999999981,369.352783203125,2.281057768523297,34332380.0,66331271.16109137,cholesterol
