run_accession	ismA_only_species_mapped	total_reads	spiR_or_ismA_gene_mapped	spiR_and_ismA_species_mapped	spiR_only_species_mapped	spiR_or_ismA_species_mapped	Study	reads_mapped_spiR_species	reads_mapped_ismA_species	reads_mapped_spiR_gene	reads_mapped_ismA_gene	area_coprostanol	intensity_coprostanol
SRR6468559	18381	13698189	342	412373	64891	450435	PRISM	448517	414920	237	104	209062708.6	98081960
SRR6468560	22497	12546460	13	186951	122007	269022	PRISM	265695	191161	12	1	295285.0035	247046.7
SRR6468561	11517	11913618	0	78714	46654	104310	PRISM	103062	80428	0	0	168179.4873	166366.7
SRR6468564	31643	15918731	330	195181	697091	845565	PRISM	839530	203029	329	1	48707858.78	34289290
SRR6468567	46876	16460085	882	827578	172406	936594	PRISM	930973	834792	556	326	149324404.8	83262840
SRR6468568	26013	13024519	11	165598	90350	217839	PRISM	212850	171764	6	5	603521.5692	660334.7
SRR6468569	30657	12951111	162	175791	383401	520775	PRISM	512529	185211	162	0	14662493.97	8972572
SRR6468570	2047	1428515	0	18368	9859	24316	PRISM	24082	18685	0	0	19374.46495	19183.62
SRR6468571	21728	12545330	0	159764	79441	203997	PRISM	200920	163779	0	0	311961.173	319056.2
SRR6468572	28610	29726035	4	214494	162470	262191	PRISM	261101	217354	4	0	20653.71347	26133.66
SRR6468572	28610	29726035	4	214494	162470	262191	PRISM	261101	217354	4	0	20653.71347	26133.66
SRR6468573	28477	14338964	166	286335	123025	354642	PRISM	352264	289965	92	74	8640824.079	6021538
SRR6468574	21821	7115735	93	195080	92950	255499	PRISM	251722	199873	46	47	412464848.4	221613200
SRR6468575	19315	11602057	132	176016	264223	404668	PRISM	401640	180143	132	0	44138110.51	20627820
SRR6468576	29282	17253435	312	393468	471252	792519	PRISM	783806	405157	261	51	67673956.58	37828220
SRR6468579	96598	53588193	276	717571	949796	1495896	PRISM	1480265	738624	274	2	123547225.6	58356240
SRR6468580	6942	13925447	48	109149	148294	239825	PRISM	238208	111292	48	0	41274538.23	24986390
SRR6468581	20274	10948996	1252	1127187	74744	1163762	PRISM	1160710	1130790	826	423	112491182	63391480
SRR6468582	39474	45467051	19	342088	201809	472997	PRISM	466079	351450	17	61	164758971.8	135743500
SRR6468583	10191	15290657	0	134046	39594	155861	PRISM	154805	135544	0	0	95844.3249	106487.1
SRR6468584	21344	14304749	166	218714	427388	590580	PRISM	584747	226218	166	0	17664649.45	9508091
SRR6468585	42662	50534676	1109	1235889	145593	1314229	PRISM	1309901	1241641	697	411	37003686.69	25912240
SRR6468586	88227	48511779	3	487685	247507	573652	PRISM	566968	498405	2	1	12148.52249	9365.835938
SRR6468587	20500	16359313	182	257259	468550	669748	PRISM	666020	262902	182	0	23746289.01	14960170
SRR6468588	29721	15265323	594	708554	165568	816641	PRISM	809804	717112	393	201	314097502.3	206996600
SRR6468590	16741	15146017	132	218261	360105	533825	PRISM	530588	222961	132	0	5201815.517	2601463
SRR6468591	16757	20359270	0	91715	77917	114800	PRISM	114342	93024	0	0	37785.34211	45482.24
SRR6468592	3806	2713521	28	41503	13590	49814	PRISM	49216	42217	24	4	24829918.74	13448740
SRR6468593	907550	12887032	379	141141	90831	1076382	PRISM	193703	1027363	17	357	55713537.63	33671430
SRR6468594	35813	17969448	295	294112	502070	737391	PRISM	730914	302332	295	0	24626547.92	18807840
SRR6468595	5551	7760163	0	54773	48160	85857	PRISM	84803	56234	0	0	160047.1712	212462
SRR6468596	10200	8176873	1	46444	37768	65956	PRISM	65264	47620	1	0	34866.79414	40891.07
SRR6468597	21347	13828138	85	266129	243875	460000	PRISM	454042		85	0	11273739.77	6009846
SRR6468598	39018	17706750		257285	938160	1134435	PRISM	1127524	266411	440	0	50432267.62	44327030
SRR6468599	16595	14561370	1	179860	130690	254444	PRISM	251420	184149	1	0	124510.3406	147344.2
SRR6468600	34614	16655161	130	183948	408079	535592	PRISM	529398	191744	129	1	11989959.03	8113393
SRR6468601	11901	14189385	28	167258	156942	288760	PRISM	286111	170655	28	0	273680.0522	339484.9
SRR6468602	12437	12987195	3	100750	58566	123977	PRISM	122093	103526	3	0	96399.50783	118826.9
SRR6468603	14397	11798768	10	170374	130186	256320	PRISM	253293	174361	10	0	1991754.079	958472.4
SRR6468604	18877	13320743	197	258031	217380	420508	PRISM	416298	263652	170	27	208867078.6	124738000
SRR6468605	72591	47772273	573	1026930	323959	1225843	PRISM	1218535	1037443	351	222	120337310.7	50598290
SRR6468606	47260	45554068	546	517078	1229769	1660071	PRISM	1652713	526768	562	0	18753945.25	11140840
SRR6468607	27402	15363640	675	748679	160819	849280	PRISM	845098	754301	427	248	162780091.5	95353800
SRR6468608	15670	16739733	1	222313	113976	285529	PRISM	282273	226685	1	0	27787.62453	25353.18
SRR6468609	38108	20165693		198333	123400	256635	PRISM	253725	202797	4	0	94471.7034	124467.2
SRR6468610	7891	13012989	0	81926	47615	111876	PRISM	110662	83875	0	0	666271.3385	477850.3
SRR6468611	85685	48608288	1694	1075059	1312950	2264074	PRISM	2247081	1096083	1385	309	231380247	192310200
SRR6468612	43014	48485838	3	444030	223991	594848	PRISM	589652	452603	3	0	259581.3745	209894.3
SRR6468613	75550	49190353	197	785405	361040	1006415	PRISM	996595	798720	113	84	127641132	72185690
SRR6468614	75188	56306582	287	446740	822544	1120669	PRISM	1112633	459272	285	124	34868523.13	23377140
SRR6468615	110836	63688017	3429	3178819	1928883	4873948	PRISM	4857520	3200871	2546	880	94400952.06	64569800
SRR6468616	93100	55590140	1479	931991	1052050	1802371	PRISM	1788995	951905	1335	180	80389804.67	70834060
SRR6468617	143642	65102856	1139	1372606	1179569	2337609	PRISM	2312587	1403742	844	295	149880240.8	70847670
SRR6468618	10273	15372401	1	77815	81696	124533	PRISM	123745	79529	1	0	68094.97866	82187.17
SRR6468619	22826	62867596	2	293067	129883	370814	PRISM	369261	295181	1	1	0	0
SRR6468620	35146	58029166	1	400576	127888	461718	PRISM	458593	405467	0	1	169476.9075	247031.3
SRR6468621	36941	14423182	491	582653	125069	652173	PRISM	647384	588880	295	195	199654122.9	96411520
SRR6468622	30815	16621433	203	374409	125614	442866	PRISM	439333	379182	150	51	13489405.9	10943240
SRR6468623	17977	16614421	47	198988	197885	352399	PRISM	348199	204577	47	0	1449666.853	1176317
SRR6468624	17782	13341158	0	208836	106487	271191	PRISM	269247	212176	0	0	63944.86394	82486.14
SRR6468625	32621	17669100		489792	119950	560997	PRISM	557034	495131	213	142	60744413.71	34926020
SRR6468626	23030	15493753	343	474956	176519	595313	PRISM	590076	481765	227	115	105720525.4	60748780
SRR6468627	57246	16417958	1222	1378226	154374	1464676	PRISM	1460952	1383328	766	457	82426158.7	40341400
SRR6468628	22580	16519471	5	226325	137756	321204	PRISM	317351	231103	5	0	568236.4292	379654.6
SRR6468629	23933	51150289	4	54046	56190	69322	PRISM	68898	54728	4	0	17722.56422	16955.11
SRR6468630	22117	13247260	1	149133	96573	204757	PRISM	202534	152264	1	0	34458.06488	54289.92
SRR6468631	33282	16472859	169	321915	125567	389421	PRISM	385803	327129	95	74	27366432.59	15704260
SRR6468632	17651	16122362		195787	128588	272362	PRISM	269490	200150	1	0	0	0
SRR6468633	28732	16297331	1	201673	132557	279854	PRISM	276141	206652	0	1	84686.67536	93220.47
SRR6468634	19632	15983355	529	649537	150840	742691	PRISM	737969	655693	374	167	122215550	101734300
SRR6468635	71211	56846989	1590	1924433	310226	2111293	PRISM	2102313	1936752	984	606	41637053.91	36594330
SRR6468636	409433	71268234	0	1464597	732001	1989251	PRISM	1930869	1530344	222	166	216109538.9	108962200
SRR6468637	12271	16596703	0	157362	65045	199533	PRISM	197551	160089	0	1	29752.54281	21073.84
SRR6468638	5022	11423516	0	65025	27155	71915	PRISM	71977	65173	0	0	474829.2713	437091.3
SRR6468639	28024	16508134	1	221464	109004	276396	PRISM	274372	224472	0	2	641590.0451	405935
SRR6468640	15604	8671035	582	168791	53696	197489	PRISM	195059	171875	1	0	371145.8094	400052.4
SRR6468652	21290	14136288	4	82714	56751	107805	PRISM	103778	88630	0	0	57849.6878	68438.38
SRR6468653	50645	53215508	1	497399	244559	653387	PRISM	648006	505092	2	1	659579.2136	397940.9
SRR6468654	63116	34408728	58	238318	164300	277977	PRISM	276632	241554	1	0	0	9424.800781
SRR6468655	31552	15398154	539	241951	160307	346164	PRISM	342390	247189	57	298	82887213.38	55428220
SRR6468656	43228	16957646	669	284224	1001683	1227481	PRISM	1218420	295442	539	0	66731189.24	37860230
SRR6468657	40782	16906481	0	671672	254774	865756	PRISM	862007	676767	466	203	148302667.3	101781500
SRR6468658	22710	14747469	154	172020	94120	222421	PRISM	219436	176057	0	0	149811.5056	134666.9
SRR6468659	39530	18458335	296	381098	449711	764582	PRISM	757339	389896	153	1	54036902.17	32133000
SRR6468660	35489	16630637	4	474616	121253	546809	PRISM	540067	482625	172	124	161244471.1	91826950
SRR6468661	37385	51752494	9	90586	84734	107274	PRISM	106931	91574	4	0	16684.6566	19025.78
SRR6468662	82662	67373963	2	552268	268485	714213	PRISM	694593	576535	7	2	93107.85945	110712
SRR6468663	49850	44851226	4	152313	127586	192826	PRISM	190677	155917	2	0	28156.34793	42400.5
SRR6468664	61221	47940828	2	485169	176452	571477	PRISM	565770	494824	4	2	90670.48735	112910.2
SRR6468665	115919	68473824	16	718939	405098	919510	PRISM	908020	733569	0	3	10588.55658	21863.06
SRR6468666	38642	55587456	0	492504	201241	624098	PRISM	618305	499882	16	0	1526037.258	739732.9
SRR6468667	4263	17158099	1	101241	13253	106197	PRISM	106065	101431	0	0	1917599.933	1380243
SRR6468668	77235	42096538	2	456973	343428	660223	PRISM	647750	473044	0	0	76293.9533	105114.8
SRR6468672	13820	10587014	865	74130	34715	86945	PRISM	86336	75067	1	0	697880.0112	649135.5
SRR6468673	66371	19368019	225	979545	242873	1162269	PRISM	1136506	1007003	587	278	199490413.2	95147430
SRR6468674	30499	17693447	1	217012	619667	782775	PRISM	778035	223303	225	0	34357767.93	30636690
SRR6468675	14150	12340691	4	88542	57164	122510	PRISM	120194	91439	1	0	21344.47118	23150.95
SRR6468676	22549	15114037	94	164704	86131	215786	PRISM	212004	169406	4	0	436700.1441	512943.5
SRR6468677	6874	14159048	94	58649	140827	186210	PRISM	185580	59563	94	0	55909401.1	27037810
SRR6468678	34131	16332210	1138	246687	343301	529558	PRISM	524664	253081	93	1	47535110.96	42942830
SRR6468679	31120	17212126	143	1074083	158272	1174303	PRISM	1168715	1080918	807	331	80758302.11	46710740
SRR6468680	24335	13897488	93	174868	338414	474012	PRISM	469785	180129	142	1	6301360.237	3179038
SRR6468681	43240	17691047	410	335523	399971	659719	PRISM	654085	343439	93	0	5605977.294	2987225
SRR6468682	117242	39646593	0	635440	1092241	1604212	PRISM	1564231	683133	438	31	143221161.4	96004130
SRR6468683	65512	45555420	0	512651	289387	684538	PRISM	676334	523617	0	0	177855.9226	214233.7
SRR6468684	14564	14572265	5	139210	70242	177415	PRISM	175601	141678	0	0	149397.3937	154278.7
SRR6468685	86901	61721270	40	761598	368524	961652	PRISM	950706	776022	5	0	55273.02934	68875.43
SRR6468686	21032	17936744	44	159829	109754	231841	PRISM	228000	164589	40	96	194502012.4	109689200
SRR6468687	55781	47823157	225	504701	316317	696189	PRISM	688120	515069	75	249	230742893.8	119907300
SRR6468688	61023	47588718	570	598375	280271	783416	PRISM	772541	611355	415	543	77531414.52	44725130
SRR6468689	105139	61535774	4	1024958	1216731	2070461	PRISM	2053051	1047303	529	73	171520684.8	78668450
SRR6468690	73023	39551454	666	684682	391915	948265	PRISM	940870	695236	3	1	26629.80206	22574.25
SRR6468691	82832	57327629	0	732803	1719081	2291743	PRISM	2279501	749769	679	2	11190026.53	5821176
SRR6468692	7855	4876040	83	20311	17747	24466	PRISM	24389	20634	0	0	0	9308.12207
SRR6468693	26267	15463676	1	260573	99358	315964	PRISM	314001	263842	68	33	23002254.54	10748410
SRR6468694	4311	4199695	327	22929	13175	28142	PRISM	27750	23478	0	1	14438.38409	13237.3
SRR6468694	4311	4199695	327	22929	13175	28142	PRISM	27750	23478	0	1	14438.38409	13237.3
SRR6468695	84452	58421323	0	835872	1104370	1788768	PRISM	1775234	853307	336	1	23115225.19	15566990
SRR6468696	11963	6526185	1	70044	40644	91216	PRISM	90438	71159	0	0	99536.0596	91871.63
SRR6468697	29470	17184529	0	214377	129089	290783	PRISM	285952	220558	0	0	164373.7151	106626.7
SRR6468698	7502	4968754	13	64695	39504	86780	PRISM	86030	65752	0	0	73060.40372	67046.96
SRR6468699	27073	15546608	2	237798	109470	306295	PRISM	299660	245486	12	78	93329591.24	43557580
SRR6468700	11329	14386239	1	48427	31196	62113	PRISM	61294	49818	0	2	16821.68593	19122.86
SRR6468701	6084	15350098	2482	64899	20035	72458	PRISM	72146	65462	0	1	97647.65953	67792.14
SRR6468702	36014	14604787	65	1207232	2273863	3396139	PRISM	3394209	1213091	2121	359	191202870.8	96196040
SRR6468703	21278	10139449	2	126496	94025	186074	PRISM	183601	130074	65	230	37454067.93	17778380
SRR6468704	10987	6432166	0	78302	48083	105959	PRISM	104843	79920	2	0	151514.5283	138720
SRR6468705	9602	17662384	1	54406	41528	79019	PRISM	78070	55941	0	0	30466.37407	45020.48
SRR6468706	18484	15156735	0	137968	82618	190388	PRISM	186957	142323	1	0	19740.39112	24184.14
SRR6468708	21699	15095812	605	402791	57182	434178	PRISM	432660	404761	205	111	45014941.08	27295530
SRR6468709	31035	13568123	800	632326	87194	683189	PRISM	679071	637304	350	255	66426396.7	53277180
CSM5MCVN	3447	11275303	0	51410	15982	60039	HMP2	59792	51752	0	0	6916.460883	27102.85
CSM5MCWE	19099	12788944	0	107910	88069	161928	HMP2	159962	110697	0	0	0	26224.02
CSM5MCX3	11307	13398164	2	87224	62664	126530	HMP2	125279	88990	2	0	6914.136261	33638.64
CSM5MCXL	6945	14303651	34	98048	100604	184409	HMP2	183485	99269	34	0	5599012.94	21745270
CSM5MCY8	8756	16788373	14	131055	61493	174749	HMP2	173645	132572	14	0	3612103.703	14457800
CSM5MCZ3	12813	11736928	2	106173	67786	151361	HMP2	148931	109275	2	0	65198.47003	259279.4
CSM5MCZF	11072	9159027	15	113389	97650	186191	HMP2	184985	115217	15	0	15075201.83	71468710
CSM67UA2	4396	10716223	18	53677	48979	93473	HMP2	93016	54429	18	0	230322.0556	965615.3
CSM67UAA	8313	7695621	22	35848	22621	44808	HMP2	44451	36383	14	8	0	28419.76
CSM67UAQ	3159	11996108	0	73411	15144	82172	HMP2	81833	73897	0	0	31069.23014	135607.7
CSM67UB1	9233	11649496	39	95380	64727	140515	HMP2	138995	97350	12	27	8655763.051	16947550
CSM67UBB	6059	11672286	2	66300	39222	92354	HMP2	91745	67198	2	0	2489690.357	9809460
CSM67UBH	5537	14393903	0	64870	24658	78488	HMP2	77906	65647	0	0	6864.465757	31882.9
CSM67UBN	2869	10065862	0	47379	12939	53733	HMP2	53497	47719	0	0	0	27894.12
CSM67UBZ	15473	12903079	196	301537	63113	339489	HMP2	338025	303442	105	87	9606227.106	42806950
CSM67UCK	10441	7909263	14	92109	68667	139828	HMP2	138532	93922	14	0	524080.9072	1971993
CSM67UDN	4622	10395787	0	66666	25893	83163	HMP2	82646	67391	0	0	393276.6165	765588.2
CSM67UEA	9620	9746746	3	100924	56600	138296	HMP2	137008	102625	3	0	3419136.95	16031490
CSM67UEI	6378	12325420	45	71881	72069	131625	HMP2	130820	73036	45	0	4345091.142	9112317
CSM67UEW	9374	4366097	53	80839	46264	109219	HMP2	108274	82080	27	25	9030524.902	38957800
CSM67UEW_TR	6722	4219272	59	70633	37099	93769	HMP2	93100	71522	39	18	9030524.902	38957800
CSM67UF5	16231	5260037	98	148461	54373	179934	HMP2	178472	150474	63	35	8427176.1	16645870
CSM67UFZ	7724	11547232	26	71081	41514	95600	HMP2	94880	72059	12	14	60554.1411	280872
