Sample,RT,mz,RTobs,dRT,mzobs,dppm,intensity,area,compound
SM-AKTYX,432.6,369.3519,437.519964,4.919963999999993,369.3521423339844,0.353148847846915,147163.2,189808.9745180658,cholesterol
SM-AKTYX,420.0,385.3465,424.95084,4.950840000000028,385.3466491699219,1.179057557634974,235777.8,384596.4110131381,cholestenone
SM-AKTYX,450.0,371.3583,445.007964,-4.992035999999985,371.3587951660156,1.032071261635958,31973.16,89595.7484941871,coprostanol
SM-A9F5B,432.6,369.3519,437.25249,4.65249,369.3526306152344,1.096770860147379,113066.3,291312.3555657123,cholesterol
SM-A9F5B,420.0,385.3465,424.950876,4.950875999999994,385.3466796875,0.703886591374738,159239.4,329284.2198087752,cholestenone
SM-A9F5B,450.0,371.3583,445.542744,-4.457255999999973,371.35882568359375,1.579926313790132,111440.6,158378.6681274161,coprostanol
SM-ARNW1,432.6,369.3519,437.520078,4.92007799999999,369.35186767578125,-0.087516048382439,105695.2,158972.5919364969,cholesterol
SM-ARNW1,420.0,385.3465,424.950954,4.950954000000024,385.3468322753906,1.020667235548229,153385.2,401939.8536871468,cholestenone
SM-ARNW1,450.0,371.3583,445.275456,-4.72454399999998,371.3588562011719,1.223820529805731,119221.9,177085.6535766797,coprostanol
SM-7BF22,432.6,369.3519,435.648042,3.048041999999953,369.3517150878906,-0.693430280678562,62995.07,117045.5779471576,cholesterol
SM-7BF22,420.0,385.3465,421.207032,1.207032000000027,385.3468017578125,1.020667235548229,149910.7,304621.4343653823,cholestenone
SM-7BF22,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-7HAI4,432.6,369.3519,436.183086,3.58308599999998,369.35260009765625,1.895475984418801,58284.7,259706.4767539564,cholesterol
SM-7HAI4,420.0,385.3465,416.660826,-3.339174000000014,385.3473205566406,2.155797877219074,112611.3,358989.203785208,cholestenone
SM-7HAI4,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-6X9W6,432.6,369.3519,436.182624,3.582623999999953,369.3515625,-0.913762728716289,69970.03,77234.99827312598,cholesterol
SM-6X9W6,420.0,385.3465,422.008998,2.00899800000002,385.3477783203125,3.079741422675918,372879.4,1407706.206866926,cholestenone
SM-6X9W6,450.0,371.3583,446.344758,-3.655241999999987,371.3590087890625,1.908639345113251,62734.6,67403.08779098457,coprostanol
SM-6TO52,432.6,369.3519,437.520258,4.92025799999999,369.35205078125,1.069229304084951,70078.98,164211.3264030777,cholesterol
SM-6TO52,420.0,385.3465,420.672384,0.672384000000022,385.34783935546875,2.8421559395458,118023.0,713315.9850072187,cholestenone
SM-6TO52,450.0,371.3583,445.275636,-4.72436399999998,371.359130859375,2.483887149928708,113617.2,168453.7926361713,coprostanol
SM-9JYA2,432.6,369.3519,435.915708,3.315707999999972,369.354736328125,7.679202746755747,129393.2,591029.5533577234,cholesterol
SM-9JYA2,420.0,385.3465,422.009448,2.00944800000002,385.34747314453125,2.023805942048444,132556.4,624066.0633927317,cholestenone
SM-9JYA2,450.0,371.3583,445.00821,-4.99178999999998,371.3591613769531,2.346923386928431,186855.8,211649.5068392444,coprostanol
SM-9VWAW,432.6,369.3519,429.237954,-3.362046000000021,369.3517150878906,-0.500639388549364,38965.83,180119.319790541,cholesterol
SM-9VWAW,420.0,385.3465,421.215078,1.215078000000005,385.3473205566406,1.311049492658091,125298.2,555820.5230926061,cholestenone
SM-9VWAW,450.0,371.3583,445.016214,-4.983786000000009,371.35870361328125,1.086856766805455,205076.4,273710.5266709067,coprostanol
SM-9QMND,432.6,369.3519,436.450698,3.850697999999966,369.3519287109375,0.463315071788828,54689.14,129964.6658056052,cholesterol
SM-9QMND,420.0,385.3465,419.602686,-0.397313999999994,385.3467712402344,0.703886591374738,122765.4,706044.7212161364,cholestenone
SM-9QMND,450.0,371.3583,445.5432,-4.456799999999987,371.3583984375,1.442962550789856,175168.6,300967.0785473407,coprostanol
SM-7RFYJ,432.6,369.3519,435.648108,3.048107999999957,369.3523864746094,1.179395528180764,79845.63,170948.4240173318,cholesterol
SM-7RFYJ,420.0,385.3465,424.148736,4.148735999999985,385.3472595214844,1.311049492658091,111533.5,425094.39565461,cholestenone
SM-7RFYJ,450.0,371.3583,445.008114,-4.991886000000022,371.358642578125,0.758143735482336,213470.5,181778.0154999594,coprostanol
SM-AKTYL,432.6,369.3519,430.566942,-2.03305800000004,369.351806640625,-0.128828382399131,35320.85,172125.7780211197,cholesterol
SM-AKTYL,420.0,385.3465,418.532688,-1.467311999999993,385.3471984863281,1.707025297874954,124672.0,702011.4081138638,cholestenone
